split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks4,local_history_ungated,stable,horizon,10,13947,7.3268,4.2994,17.9052,18.6273
member2_canonical_tracks4,local_history_ungated,stable,horizon,15,13947,13.6644,7.0131,36.0969,21.4241
member2_canonical_tracks4,local_history_ungated,stable,horizon,30,13947,54.5554,22.2202,154.322,16.5587
member2_canonical_tracks4,local_history_ungated,stable,ADE,30,13947,19.7226,9.276,53.9608,17.4672
member2_canonical_tracks4,local_history_ungated,turning,horizon,5,6222,4.2134,3.0684,7.6256,10.032
member2_canonical_tracks4,local_history_ungated,turning,horizon,10,6222,7.7387,5.4691,14.473,11.6992
member2_canonical_tracks4,local_history_ungated,turning,horizon,15,6222,12.2969,8.3328,23.5801,12.3736
member2_canonical_tracks4,local_history_ungated,turning,horizon,30,6222,35.2613,20.0398,72.1257,9.9322
member2_canonical_tracks4,local_history_ungated,turning,ADE,30,6222,14.8776,9.3921,29.6012,10.6859
member2_canonical_tracks4,local_history_ungated,speed_change,horizon,5,1617,4.8195,2.9215,8.9472,7.6442
member2_canonical_tracks4,local_history_ungated,speed_change,horizon,10,1617,8.2187,5.2708,15.7439,7.9892
member2_canonical_tracks4,local_history_ungated,speed_change,horizon,15,1617,12.9004,8.0127,24.9868,7.2668
member2_canonical_tracks4,local_history_ungated,speed_change,horizon,30,1617,34.9537,18.7212,70.8406,4.7434
